s	9864
apo	9518
categori	9381
refer	9340
quot	8674
other	8415
link	8296
thi	8190
us	8063
extern	8008
two	7949
includ	7885
year	7801
first	7689
http	7418
fr	7379
time	7349
state	7299
www	6804
see	6761
d	6743
histori	6662
peopl	6626
part	6504
unit	6500
n	6426
pt	6379
nl	6336
made	6332
known	6085
pl	6041
place	5973
gener	5828
m	5808
call	5804
c	5798
i	5777
ru	5752
well	5660
world	5640
live	5627
follow	5615
e	5609
three	5601
american	5501
earli	5473
both	5454
work	5427
origin	5402
through	5381
nation	5378
present	5378
sv	5339
ja	5282
p	5231
id	5198
univers	5194
uk	5163
found	5139
citi	5134
ca	5121
form	5121
make	5067
end	5040
area	5013
t	5000
dai	4949
b	4927
becam	4897
base	4893
number	4857
hous	4842
second	4839
high	4836
major	4832
march	4756
famili	4736
john	4709
list	4709
public	4706
ag	4693
line	4615
war	4612
april	4594
book	4572
same	4507
w	4499
larg	4480
html	4465
u	4459
juli	4445
r	4436
januari	4425
life	4401
press	4388
septemb	4357
zh	4346
group	4342
becom	4337
l	4332
